Nome do Site/Empresa;URL;Endereço Estimado;Data Coleta;Telefone 1;Telefone 2;Telefone 3;Telefone 4;Telefone 5
Escola Paraná  |  Escola Digital - Aluno;https://aluno.escoladigital.pr.gov.br/escola_parana;Ir para a navegação | Navegação principal;2025-05-26 17:46:59;41 3340-1500;;;;
Acessar o Aula Paraná  |  Escola Digital - Aluno;https://aluno.escoladigital.pr.gov.br/servicos/Educacao/Ensino-Fundamental/Acessar-o-Aula-Parana-JVN6RYNP;Secretaria de Estado da Educação - SEED Avenida Água Verde, 2140 Água Verde - Curitiba 80620-200 | Ir para a navegação;2025-05-26 17:46:59;41 3340-1500;;;;
Instalar o aplicativo Escola Paraná - Alunos e Pais  |  Escola Digital - Aluno;https://aluno.escoladigital.pr.gov.br/servicos/Educacao/Aplicativos/Instalar-o-aplicativo-Escola-Parana-Alunos-e-Pais-EpolXdoB;Secretaria de Estado da Educação - SEED Avenida Água Verde, 2140 Água Verde - Curitiba 80620-200 | Ir para a navegação;2025-05-26 17:46:59;41 3340-1500;;;;
Consultar boletim escolar  |  Escola Digital - Aluno;https://aluno.escoladigital.pr.gov.br/servicos/Educacao/Alunos-e-responsaveis/Consultar-boletim-escolar-GPoy6JNQ;Secretaria de Estado da Educação - SEED Avenida Água Verde, 2140 Água Verde - Curitiba 80620-200 | Ir para a navegação;2025-05-26 17:46:59;41 3340-1500;;;;
Principal - CFC Paraná Autoescola;https://www.cfcparana.com.br/;Rua Montevidéu, 517 Jd Guanabara – 86050-020 Londrina – PR (43) 3323-0948 | Rua Benjamin Constant, 1595 Centro – 86020-320 Londrina – PR (43) 3321-1006;2025-05-26 17:46:59;(43) 3342-2730;(43) 3323-0948;(43) 3323-2039;(43) 3321-1006;(43) 3323-3030
Portal da Prefeitura de Londrina - Unidades Escolares;https://portal.londrina.pr.gov.br/unidades-escolares;Prefeitura do Município de Londrina - Avenida Duque de Caxias, 635 - Jd. Mazei II - CEP: 86015-901 CNPJ: 75.771.477/0001-70 - Londrina - Paraná - Brasil | ;2025-05-26 17:46:59;(43) 3372-4000;;;;
